permit_holder_id,permit_id,lot_zone_id,licence_plate_hash,issued_date,expiry_date,ObjectId
46841,199,9,0xFA36F899CB91DC8F744BBA7F1054DA0E2A1FF7C531C1B1CBB413F6D583AEA729,01-11-2020,30-11-2020,1
47333,199,9,0x06DF5828F2E73EDB4B9D0B4F7CB7E4475CDFF9621F7F65B17D07E30E7E495483,01-11-2020,30-11-2020,2
47354,199,9,0xB7EDF70E44A14EB3E61727684A7F5528E775B3FE9DDBB0D4895B14FA17CAECAB,01-11-2020,30-11-2020,3
47378,199,9,0x9DAE85693D2A3F7CA1F669265EB3E0DAA2531FEF931C82861FAB2500ACD0529B,02-11-2020,30-11-2020,4
47399,199,9,0x51F0B273E205394AEB6433BF06E9CD0134B7716ED0018AA5C349746286D239D7,02-11-2020,30-11-2020,5
47402,199,9,0x999CF370C3A824F445A124728A556D18B3F64D632BC5E0EA8BE4B24D5509CC27,02-11-2020,30-11-2020,6
47409,199,9,0x52B7AFD8D2F13409939093EC6BC342B103A1007FD7EAA1006FEAAA43C040358A,02-11-2020,30-11-2020,7
47425,199,9,0xD0ADCF5BEE43A0E37C86351A15A0B41478A0CC2ACD86C37083470B4D1804B3F2,02-11-2020,30-11-2020,8
47474,199,9,0x0C29821EADAAEADD939AB108FC875F08D7D88F96A3063AFA989BEFE5396B76DF,02-11-2020,30-11-2020,9
47698,199,9,0x2DDD895214912BA7903E0A450B2D78AF28FD10C98779024B46EA90152FFAEE2A,04-11-2020,30-11-2020,10
47744,199,9,0xD05B96DC1692980FC540930072DF52C861EA300CA179ECFA9E219AD1897825FB,05-11-2020,30-11-2020,11
47846,199,9,0x2DEA3E2C168F99E32C38D7930EFCA8928B9D317767A6CA421C8D3B26AE9AF541,06-11-2020,30-11-2020,12
48560,199,9,0x06BC0A3E95D0EE37686A19E5ACEEE52E942DA7F8D164A4CC25684739955566A3,01-12-2020,31-12-2020,13
48561,199,9,0x676BA94C5ED09CDFA94E97CC634D37CB69F5BF32F63A1B7411C5EE557E175FC6,01-12-2020,31-12-2020,14
48563,199,9,0x7A511498D8129E3101F5EF15BBAC72C201875EB59D235AC798E2B8B4CA5BB9BE,01-12-2020,31-12-2020,15
48564,199,9,0x04C1927BC452B9F18CFC9DAD7FAA42DE99239C9FDF2832AD962D00172F47B8F8,01-12-2020,31-12-2020,16
48566,199,9,0x3A77D93AF486FDED5125348544CCB30FAFDE7AFCB3FF1D47639AB5F98D08BFB0,01-12-2020,31-12-2020,17
48567,199,9,0xDA0E8F5F0A78AEA35C3A62D38BAA1065064C0C948D208792A92BA158FCC02D20,01-12-2020,31-12-2020,18
48568,199,9,0x58AB0E2F8EFE198798D010E35F560A87721F5639C19192DE29AD6869AB25CDAE,01-12-2020,31-12-2020,19
48569,199,9,0xC6A09983169693356D078DBCBAFA745860F4C9A41ACCDCCE45C31A756C247582,01-12-2020,31-12-2020,20
48573,199,9,0xFF25FB9BD714F3A052981C1B983515DF8183909A422F9CEF724475058634531C,01-12-2020,31-12-2020,21
48576,199,9,0x3C446D3D4B8C2735F79563DDF96B17523B15A10899EC21546B89FD492CC36225,01-12-2020,31-12-2020,22
48578,199,9,0x089565C34CA13583FCE6B19D88130508A2703567E5721E30658637E78A722481,01-12-2020,31-12-2020,23
48581,199,9,0x3484A656F1444169757B4EFA2372434BE6CFC3F3A70E4438887BAB59331F209A,01-12-2020,31-12-2020,24
48583,199,9,0x72A0CDDE84119AE6C40C2A2AD6B8099235FEB34EF522BECED721EC162CE47672,01-12-2020,31-12-2020,25
48584,199,9,0x2D621C0246E81837F83FB682ACE897F052250318D011BFF59C7BA77B73C54089,01-12-2020,31-12-2020,26
48587,199,9,0xE0B3009F59DBA5553C7286B07CED71E36C94986F98F2BECB7A60E27071AC321E,01-12-2020,31-12-2020,27
48590,199,9,0x0369DFA3CE06420C3D4BFAA016D8BAFB099B76134F4F5FE518C8E7243427CEB9,01-12-2020,31-12-2020,28
48595,199,9,0xDF834ACD968B1E44A5748BE6F9B05E79563DB5EC0F9511DF7416D13942D6900C,01-12-2020,31-12-2020,29
48688,199,9,0x0F8E3F77B6DF33556A937FAD17BDAC6FE2D8F34B2C1595C4EFA9F90C931C4749,01-12-2020,31-12-2020,30
48689,199,9,0x59F3A8E91FCB7E47C328C050C01E6E1FE48AF42ADE97F799C473DCD194735CD3,01-12-2020,31-12-2020,31
48694,199,9,0x15F4F89304F92860C5A7F8440D01ACCA939844DF68D90B8F478385F6710F947B,01-12-2020,31-12-2020,32
48698,199,9,0x9DAE85693D2A3F7CA1F669265EB3E0DAA2531FEF931C82861FAB2500ACD0529B,01-12-2020,31-12-2020,33
48699,199,9,0xAE4509DF2104D9F37B9CCF0B92F6F2F3A6BA336CE377ED75071B9E04C8EE13F7,01-12-2020,31-12-2020,34
48721,199,9,0x2DEA3E2C168F99E32C38D7930EFCA8928B9D317767A6CA421C8D3B26AE9AF541,01-12-2020,31-12-2020,35
48781,199,9,0x6396CB1CDBE9383C09A1307B1C51AAF289682A2570A60680DD29F0CE5143B73F,01-12-2020,31-12-2020,36
48989,199,9,0xE03A7A3CCAE1D7D3EC3D28921B638F9E43316813F285290B983C920AD44B688A,01-12-2020,31-12-2020,37
49235,199,9,0xFA36F899CB91DC8F744BBA7F1054DA0E2A1FF7C531C1B1CBB413F6D583AEA729,01-12-2020,31-12-2020,38
